[2023-10-09 20:32:48,154] [INFO] l**********@g****.com {'ret': 0, 'msg': '您似乎已经签到过了...'}
[2023-10-10 03:18:44,762] [INFO] l**********@g****.com {'ret': 0, 'msg': '您似乎已经签到过了...'}
[2023-10-11 03:19:00,664] [INFO] l**********@g****.com {'msg': '获得了 382MB 流量.', 'unflowtraffic': 6736052224, 'traffic': '6.27GB', 'trafficInfo': {'todayUsedTraffic': '36.2KB', 'lastUsedTraffic': '6.09MB', 'unUsedTraffic': '6.27GB'}, 'ret': 1}
[2023-10-26 03:18:30,762] [INFO] l**********@g****.com {'msg': '获得了 300MB 流量.', 'unflowtraffic': 12989759488, 'traffic': '12.1GB', 'trafficInfo': {'todayUsedTraffic': '25.85KB', 'lastUsedTraffic': '7.26MB', 'unUsedTraffic': '12.09GB'}, 'ret': 1}
[2023-10-27 03:18:28,911] [INFO] l**********@g****.com {'msg': '获得了 495MB 流量.', 'unflowtraffic': 13508804608, 'traffic': '12.58GB', 'trafficInfo': {'todayUsedTraffic': '25.85KB', 'lastUsedTraffic': '7.34MB', 'unUsedTraffic': '12.57GB'}, 'ret': 1}
[2023-10-28 03:18:07,588] [INFO] l**********@g****.com {'msg': '获得了 410MB 流量.', 'unflowtraffic': 13938720768, 'traffic': '12.98GB', 'trafficInfo': {'todayUsedTraffic': '25.85KB', 'lastUsedTraffic': '7.36MB', 'unUsedTraffic': '12.97GB'}, 'ret': 1}
[2023-10-29 03:18:28,360] [INFO] l**********@g****.com {'msg': '获得了 445MB 流量.', 'unflowtraffic': 14405337088, 'traffic': '13.42GB', 'trafficInfo': {'todayUsedTraffic': '267B', 'lastUsedTraffic': '7.39MB', 'unUsedTraffic': '13.41GB'}, 'ret': 1}
[2023-10-30 03:19:29,646] [INFO] l**********@g****.com {'msg': '获得了 429MB 流量.', 'unflowtraffic': 14855176192, 'traffic': '13.83GB', 'trafficInfo': {'todayUsedTraffic': '25.85KB', 'lastUsedTraffic': '7.39MB', 'unUsedTraffic': '13.83GB'}, 'ret': 1}
[2023-10-31 03:18:54,633] [INFO] l**********@g****.com {'msg': '获得了 352MB 流量.', 'unflowtraffic': 15224274944, 'traffic': '14.18GB', 'trafficInfo': {'todayUsedTraffic': '0B', 'lastUsedTraffic': '7.41MB', 'unUsedTraffic': '14.17GB'}, 'ret': 1}
[2023-11-01 03:19:28,739] [INFO] l**********@g****.com {'msg': '获得了 340MB 流量.', 'unflowtraffic': 15580790784, 'traffic': '14.51GB', 'trafficInfo': {'todayUsedTraffic': '25.85KB', 'lastUsedTraffic': '7.41MB', 'unUsedTraffic': '14.5GB'}, 'ret': 1}
[2023-11-02 03:19:06,822] [INFO] l**********@g****.com {'msg': '获得了 376MB 流量.', 'unflowtraffic': 15975055360, 'traffic': '14.88GB', 'trafficInfo': {'todayUsedTraffic': '93.06KB', 'lastUsedTraffic': '7.44MB', 'unUsedTraffic': '14.87GB'}, 'ret': 1}
[2023-11-03 03:19:00,367] [INFO] l**********@g****.com {'msg': '获得了 322MB 流量.', 'unflowtraffic': 16312696832, 'traffic': '15.19GB', 'trafficInfo': {'todayUsedTraffic': '20.68KB', 'lastUsedTraffic': '7.53MB', 'unUsedTraffic': '15.19GB'}, 'ret': 1}
[2023-11-04 03:18:51,752] [INFO] l**********@g****.com {'msg': '获得了 319MB 流量.', 'unflowtraffic': 16647192576, 'traffic': '15.5GB', 'trafficInfo': {'todayUsedTraffic': '0B', 'lastUsedTraffic': '7.55MB', 'unUsedTraffic': '15.5GB'}, 'ret': 1}
[2023-11-05 03:20:34,821] [INFO] l**********@g****.com {'msg': '获得了 343MB 流量.', 'unflowtraffic': 17006854144, 'traffic': '15.84GB', 'trafficInfo': {'todayUsedTraffic': '20.68KB', 'lastUsedTraffic': '7.55MB', 'unUsedTraffic': '15.83GB'}, 'ret': 1}
[2023-11-06 03:19:38,357] [INFO] l**********@g****.com {'msg': '获得了 414MB 流量.', 'unflowtraffic': 17440964608, 'traffic': '16.24GB', 'trafficInfo': {'todayUsedTraffic': '0B', 'lastUsedTraffic': '7.57MB', 'unUsedTraffic': '16.24GB'}, 'ret': 1}
[2023-11-07 03:19:00,674] [INFO] l**********@g****.com {'msg': '获得了 416MB 流量.', 'unflowtraffic': 17877172224, 'traffic': '16.65GB', 'trafficInfo': {'todayUsedTraffic': '10.6KB', 'lastUsedTraffic': '7.57MB', 'unUsedTraffic': '16.64GB'}, 'ret': 1}
[2023-11-08 03:19:14,884] [INFO] l**********@g****.com {'msg': '获得了 308MB 流量.', 'unflowtraffic': 18200133632, 'traffic': '16.95GB', 'trafficInfo': {'todayUsedTraffic': '15.51KB', 'lastUsedTraffic': '7.58MB', 'unUsedTraffic': '16.94GB'}, 'ret': 1}
[2023-11-09 03:19:02,650] [INFO] l**********@g****.com {'msg': '获得了 373MB 流量.', 'unflowtraffic': 18591252480, 'traffic': '17.31GB', 'trafficInfo': {'todayUsedTraffic': '5.17KB', 'lastUsedTraffic': '7.6MB', 'unUsedTraffic': '17.31GB'}, 'ret': 1}
[2023-11-10 03:19:09,012] [INFO] l**********@g****.com {'msg': '获得了 404MB 流量.', 'unflowtraffic': 19014877184, 'traffic': '17.71GB', 'trafficInfo': {'todayUsedTraffic': '0B', 'lastUsedTraffic': '7.6MB', 'unUsedTraffic': '17.7GB'}, 'ret': 1}
[2023-11-11 03:20:42,644] [INFO] l**********@g****.com {'msg': '获得了 439MB 流量.', 'unflowtraffic': 19475202048, 'traffic': '18.14GB', 'trafficInfo': {'todayUsedTraffic': '0B', 'lastUsedTraffic': '7.6MB', 'unUsedTraffic': '18.13GB'}, 'ret': 1}
[2023-11-12 03:18:33,670] [INFO] l**********@g****.com {'msg': '获得了 349MB 流量.', 'unflowtraffic': 19841155072, 'traffic': '18.48GB', 'trafficInfo': {'todayUsedTraffic': '0B', 'lastUsedTraffic': '7.6MB', 'unUsedTraffic': '18.47GB'}, 'ret': 1}
[2023-11-13 03:19:31,973] [INFO] l**********@g****.com {'msg': '获得了 353MB 流量.', 'unflowtraffic': 20211302400, 'traffic': '18.82GB', 'trafficInfo': {'todayUsedTraffic': '0B', 'lastUsedTraffic': '7.6MB', 'unUsedTraffic': '18.82GB'}, 'ret': 1}
[2023-11-14 03:19:17,790] [INFO] l**********@g****.com {'msg': '获得了 481MB 流量.', 'unflowtraffic': 20715667456, 'traffic': '19.29GB', 'trafficInfo': {'todayUsedTraffic': '0B', 'lastUsedTraffic': '7.6MB', 'unUsedTraffic': '19.29GB'}, 'ret': 1}
[2023-11-15 03:19:46,054] [INFO] l**********@g****.com {'msg': '获得了 358MB 流量.', 'unflowtraffic': 21091057664, 'traffic': '19.64GB', 'trafficInfo': {'todayUsedTraffic': '0B', 'lastUsedTraffic': '7.6MB', 'unUsedTraffic': '19.64GB'}, 'ret': 1}
[2023-11-16 03:19:53,153] [INFO] l**********@g****.com {'msg': '获得了 346MB 流量.', 'unflowtraffic': 21453864960, 'traffic': '19.98GB', 'trafficInfo': {'todayUsedTraffic': '0B', 'lastUsedTraffic': '7.6MB', 'unUsedTraffic': '19.97GB'}, 'ret': 1}
[2023-11-17 03:19:44,490] [INFO] l**********@g****.com {'msg': '获得了 376MB 流量.', 'unflowtraffic': 21848129536, 'traffic': '20.35GB', 'trafficInfo': {'todayUsedTraffic': '0B', 'lastUsedTraffic': '7.6MB', 'unUsedTraffic': '20.34GB'}, 'ret': 1}
[2023-11-18 03:19:22,538] [INFO] l**********@g****.com {'msg': '获得了 322MB 流量.', 'unflowtraffic': 22185771008, 'traffic': '20.66GB', 'trafficInfo': {'todayUsedTraffic': '0B', 'lastUsedTraffic': '7.6MB', 'unUsedTraffic': '20.65GB'}, 'ret': 1}
